"year"," month","carrier","carrier_name","airport","airport_name","arr_flights","arr_del15","carrier_ct"," weather_ct","nas_ct","security_ct","late_aircraft_ct","arr_cancelled","arr_diverted"," arr_delay"," carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay",
2017,7,"EV","ExpressJet Airlines Inc.","HDN","Hayden, CO: Yampa Valley",31.00,4.00,0.63,1.00,2.00,0.00,0.38,2.00,0.00,119.00,10.00,20.00,83.00,0.00,6.00,
2017,7,"EV","ExpressJet Airlines Inc.","HOB","Hobbs, NM: Lea County Regional",57.00,6.00,2.85,0.00,1.21,0.00,1.94,1.00,0.00,381.00,79.00,0.00,112.00,0.00,190.00,
2017,7,"EV","ExpressJet Airlines Inc.","HOU","Houston, TX: William P Hobby",105.00,32.00,16.15,0.00,6.69,0.00,9.16,0.00,0.00,1663.00,982.00,0.00,234.00,0.00,447.00,
2017,7,"EV","ExpressJet Airlines Inc.","HPN","White Plains, NY: Westchester County",280.00,69.00,37.33,0.00,14.35,0.00,17.33,2.00,0.00,4472.00,2381.00,0.00,711.00,0.00,1380.00,
2017,7,"EV","ExpressJet Airlines Inc.","HRL","Harlingen/San Benito, TX: Valley International",34.00,1.00,0.84,0.00,0.00,0.00,0.16,0.00,0.00,19.00,16.00,0.00,0.00,0.00,3.00,
2017,7,"EV","ExpressJet Airlines Inc.","HSV","Huntsville, AL: Huntsville International-Carl T Jones Field",157.00,26.00,14.59,0.00,6.00,0.00,5.41,3.00,0.00,1398.00,858.00,0.00,264.00,0.00,276.00,
2017,7,"EV","ExpressJet Airlines Inc.","IAH","Houston, TX: George Bush Intercontinental/Houston",3858.00,497.00,82.67,10.16,194.20,0.00,209.96,47.00,23.00,42654.00,9418.00,1626.00,16526.00,0.00,15084.00,
2017,7,"EV","ExpressJet Airlines Inc.","ICT","Wichita, KS: Wichita Dwight D Eisenhower National",117.00,15.00,5.32,0.12,2.90,0.00,6.66,2.00,1.00,983.00,440.00,10.00,169.00,0.00,364.00,
2017,7,"EV","ExpressJet Airlines Inc.","ILM","Wilmington, NC: Wilmington International",34.00,11.00,7.77,0.00,1.51,0.00,1.72,0.00,0.00,733.00,635.00,0.00,47.00,0.00,51.00,
2017,7,"EV","ExpressJet Airlines Inc.","IND","Indianapolis, IN: Indianapolis International",150.00,34.00,8.59,1.21,12.44,0.00,11.76,3.00,0.00,2606.00,1378.00,120.00,449.00,0.00,659.00,
2017,7,"EV","ExpressJet Airlines Inc.","JAN","Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International",228.00,41.00,11.80,2.71,12.17,0.00,14.32,4.00,1.00,2655.00,881.00,133.00,765.00,0.00,876.00,
2017,7,"EV","ExpressJet Airlines Inc.","JAX","Jacksonville, FL: Jacksonville International",25.00,8.00,2.58,0.00,3.93,0.00,1.49,1.00,0.00,513.00,285.00,0.00,155.00,0.00,73.00,
2017,7,"EV","ExpressJet Airlines Inc.","JLN","Joplin, MO: Joplin Regional",60.00,7.00,0.77,0.00,2.48,0.00,3.75,0.00,0.00,338.00,23.00,0.00,66.00,0.00,249.00,
2017,7,"EV","ExpressJet Airlines Inc.","LAN","Lansing, MI: Capital Region International",58.00,13.00,1.10,0.00,3.63,0.00,8.27,3.00,0.00,701.00,99.00,0.00,114.00,0.00,488.00,
2017,7,"EV","ExpressJet Airlines Inc.","LAW","Lawton/Fort Sill, OK: Lawton-Fort Sill Regional",91.00,19.00,9.57,0.00,3.41,0.00,6.02,2.00,0.00,1426.00,749.00,0.00,167.00,0.00,510.00,
2017,7,"EV","ExpressJet Airlines Inc.","LBB","Lubbock, TX: Lubbock Preston Smith International",90.00,6.00,0.33,1.00,3.67,0.00,1.00,2.00,2.00,143.00,5.00,23.00,83.00,0.00,32.00,
2017,7,"EV","ExpressJet Airlines Inc.","LCH","Lake Charles, LA: Lake Charles Regional",77.00,8.00,3.88,0.00,1.93,0.00,2.19,1.00,0.00,472.00,205.00,0.00,119.00,0.00,148.00,
2017,7,"EV","ExpressJet Airlines Inc.","LEX","Lexington, KY: Blue Grass",274.00,69.00,33.22,0.00,17.34,0.00,18.45,10.00,2.00,6046.00,3784.00,0.00,1049.00,0.00,1213.00,
2017,7,"EV","ExpressJet Airlines Inc.","LFT","Lafayette, LA: Lafayette Regional Paul Fournet Field",149.00,32.00,17.55,1.10,7.88,0.00,5.47,1.00,1.00,1565.00,928.00,105.00,266.00,0.00,266.00,
2017,7,"EV","ExpressJet Airlines Inc.","LGA","New York, NY: LaGuardia",1227.00,425.00,108.73,0.00,171.79,0.00,144.48,106.00,7.00,50799.00,19875.00,0.00,14836.00,0.00,16088.00,
2017,7,"EV","ExpressJet Airlines Inc.","LIT","Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",117.00,21.00,11.53,0.00,5.22,0.00,4.25,2.00,0.00,1892.00,1106.00,0.00,291.00,0.00,495.00,
2017,7,"EV","ExpressJet Airlines Inc.","LNK","Lincoln, NE: Lincoln Airport",91.00,26.00,5.39,1.00,6.60,0.00,13.01,2.00,1.00,2204.00,461.00,221.00,303.00,0.00,1219.00,
2017,7,"EV","ExpressJet Airlines Inc.","LRD","Laredo, TX: Laredo International",166.00,25.00,11.75,1.14,5.43,0.00,6.68,1.00,1.00,2045.00,1303.00,186.00,122.00,0.00,434.00,
2017,7,"EV","ExpressJet Airlines Inc.","MAF","Midland/Odessa, TX: Midland International Air and Space Port",142.00,10.00,1.07,2.06,4.93,0.00,1.94,0.00,0.00,686.00,147.00,209.00,261.00,0.00,69.00,
2017,7,"EV","ExpressJet Airlines Inc.","MCI","Kansas City, MO: Kansas City International",86.00,20.00,8.93,0.00,5.56,0.00,5.51,4.00,0.00,2577.00,1529.00,0.00,417.00,0.00,631.00,
2017,7,"EV","ExpressJet Airlines Inc.","MCO","Orlando, FL: Orlando International",5.00,3.00,2.20,0.00,0.09,0.00,0.71,0.00,0.00,500.00,336.00,0.00,13.00,0.00,151.00,
2017,7,"EV","ExpressJet Airlines Inc.","MEM","Memphis, TN: Memphis International",152.00,24.00,11.00,0.00,5.72,0.00,7.28,6.00,0.00,3134.00,1720.00,0.00,342.00,0.00,1072.00,
2017,7,"EV","ExpressJet Airlines Inc.","MFE","Mission/McAllen/Edinburg, TX: McAllen Miller International",69.00,11.00,4.02,1.00,4.10,0.00,1.89,0.00,0.00,598.00,168.00,139.00,134.00,0.00,157.00,
2017,7,"EV","ExpressJet Airlines Inc.","MGM","Montgomery, AL: Montgomery Regional",1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,115.00,115.00,0.00,0.00,0.00,0.00,
2017,7,"EV","ExpressJet Airlines Inc.","MHK","Manhattan/Ft. Riley, KS: Manhattan Regional",83.00,14.00,5.71,0.00,3.46,0.00,4.83,0.00,0.00,793.00,473.00,0.00,85.00,0.00,235.00,
2017,7,"EV","ExpressJet Airlines Inc.","MHT","Manchester, NH: Manchester-Boston Regional",17.00,2.00,1.00,0.00,0.43,0.00,0.57,1.00,0.00,141.00,92.00,0.00,21.00,0.00,28.00,
